iteration_id,branch_id,setup_definition,high_lookback_days,leader_strength_definition,laggard_definition,trigger_definition,context_filter,comparison_target,holding_window_days,sample_count,avg_excess_return,median_excess_return,hit_rate,subperiod_consistency,headline_verdict,notes
iteration_02,S1_T0_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,3.0,26,0.00324695792663768,0.003981857313873016,0.5769230769230769,mixed pre/post 2020,revise,setups=29; triggered=27; expired=2; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T0_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,4.0,26,0.005579355343102166,0.0036826846513962064,0.6538461538461539,mixed pre/post 2020,revise,setups=29; triggered=27; expired=2; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T0_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,5.0,26,0.006788169115232898,0.006859148340851884,0.5769230769230769,mixed pre/post 2020,revise,setups=29; triggered=27; expired=2; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T0_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,3.0,22,0.003480874799940384,0.0034283112363222568,0.5454545454545454,positive pre/post 2020,promote,setups=25; triggered=23; expired=2; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T0_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,4.0,22,0.005003762529997831,0.004616722292325737,0.6363636363636364,positive pre/post 2020,promote,setups=25; triggered=23; expired=2; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T0_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,5.0,22,0.006332134884920313,0.006859148340851884,0.5909090909090909,positive pre/post 2020,promote,setups=25; triggered=23; expired=2; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T1_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,relative-strength turn,SPY,QQQ,3.0,26,0.006734822474890071,0.005178569488646478,0.7692307692307693,positive pre/post 2020,promote,setups=29; triggered=26; expired=3; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T1_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,relative-strength turn,SPY,QQQ,4.0,26,0.010631343657749075,0.0051482218231799215,0.8076923076923077,positive pre/post 2020,promote,setups=29; triggered=26; expired=3; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T1_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,relative-strength turn,SPY,QQQ,5.0,26,0.008665283061540019,0.003972112610981293,0.5769230769230769,positive pre/post 2020,promote,setups=29; triggered=26; expired=3; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T1_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,relative-strength turn,SPY,QQQ,3.0,21,0.006667043890909562,0.00230854918497736,0.7619047619047619,mixed pre/post 2020,revise,setups=25; triggered=21; expired=4; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T1_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,relative-strength turn,SPY,QQQ,4.0,21,0.013964128771265268,0.0038780914953808754,0.8095238095238095,positive pre/post 2020,promote,setups=25; triggered=21; expired=4; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T1_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,relative-strength turn,SPY,QQQ,5.0,21,0.015959100875153055,0.0007589251420381249,0.5238095238095238,positive pre/post 2020,promote,setups=25; triggered=21; expired=4; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T3_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,two-day relative thrust,SPY,QQQ,3.0,23,0.0015822785379104188,0.00230854918497736,0.6521739130434783,positive pre/post 2020,promote,setups=29; triggered=23; expired=6; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T3_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,two-day relative thrust,SPY,QQQ,4.0,23,0.007377082462171561,0.0008113905627856743,0.6521739130434783,positive pre/post 2020,promote,setups=29; triggered=23; expired=6; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T3_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,two-day relative thrust,SPY,QQQ,5.0,23,0.002972116296948288,-0.000950222784228627,0.391304347826087,positive pre/post 2020,revise,setups=29; triggered=23; expired=6; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T3_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,two-day relative thrust,SPY,QQQ,3.0,21,0.006685490573078117,0.00230854918497736,0.7619047619047619,post-2020 only,revise,setups=25; triggered=21; expired=4; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T3_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,two-day relative thrust,SPY,QQQ,4.0,21,0.013117554723343935,0.0008113905627856743,0.7619047619047619,post-2020 only,revise,setups=25; triggered=21; expired=4; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T3_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,two-day relative thrust,SPY,QQQ,5.0,21,0.013444972100997547,-0.000950222784228627,0.47619047619047616,post-2020 only,revise,setups=25; triggered=21; expired=4; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T5_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,gap compression,SPY,QQQ,3.0,22,-0.00019250038506005908,0.0033798167579989213,0.5454545454545454,mixed pre/post 2020,revise,setups=29; triggered=22; expired=7; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T5_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,gap compression,SPY,QQQ,4.0,22,0.003753956897681129,0.0007206265339140816,0.5454545454545454,mixed pre/post 2020,revise,setups=29; triggered=22; expired=7; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T5_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,gap compression,SPY,QQQ,5.0,22,0.008288171453747727,0.003972112610981293,0.5909090909090909,positive pre/post 2020,promote,setups=29; triggered=22; expired=7; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T5_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,gap compression,SPY,QQQ,3.0,20,0.00939136880052297,0.0035357421348038987,0.55,positive pre/post 2020,promote,setups=25; triggered=20; expired=5; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T5_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,gap compression,SPY,QQQ,4.0,20,0.011826124971779867,0.009829066305002243,0.55,positive pre/post 2020,promote,setups=25; triggered=20; expired=5; laggard=DIA; narrowed_from=iteration_01
iteration_02,S1_T5_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,gap compression,SPY,QQQ,5.0,20,0.017884869611360092,0.014531915224859082,0.55,positive pre/post 2020,promote,setups=25; triggered=20; expired=5; laggard=DIA; narrowed_from=iteration_01
iteration_02,S2_T4_DIA_leads,rolling divergence,60,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,leader stall plus laggard strength,SPY,DIA,2.0,13,0.007710043830153467,0.008282016453124652,0.7692307692307693,positive pre/post 2020,promote,setups=55; triggered=13; expired=42; laggard=QQQ; narrowed_from=iteration_01
iteration_02,S2_T4_DIA_leads,rolling divergence,60,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,leader stall plus laggard strength,SPY,DIA,3.0,13,0.008966412593620018,0.012808893157673307,0.7692307692307693,mixed pre/post 2020,revise,setups=55; triggered=13; expired=42; laggard=QQQ; narrowed_from=iteration_01
iteration_02,S2_T4_DIA_leads,rolling divergence,128,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,leader stall plus laggard strength,SPY,DIA,2.0,12,0.007662379444905869,0.008627444783940952,0.75,positive pre/post 2020,promote,setups=48; triggered=12; expired=36; laggard=QQQ; narrowed_from=iteration_01
iteration_02,S2_T4_DIA_leads,rolling divergence,128,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,leader stall plus laggard strength,SPY,DIA,3.0,12,0.007995628968077715,0.010879608585269929,0.75,mixed pre/post 2020,revise,setups=48; triggered=12; expired=36; laggard=QQQ; narrowed_from=iteration_01
